date.date,date.fires
1/10/2017,28
1/11/2017,229
1/12/2017,250
1/13/2017,154
1/14/2017,63
1/15/2017,86
1/16/2017,208
1/17/2017,253
1/18/2017,245
1/19/2017,235
1/20/2017,224
1/21/2017,68
1/22/2017,83
1/23/2017,248
1/24/2017,265
1/25/2017,259
1/26/2017,263
1/27/2017,214
1/28/2017,75
1/29/2017,97
1/30/2017,229
1/31/2017,260
2/1/2017,252
2/2/2017,211
2/3/2017,195
2/4/2017,85
2/5/2017,102
2/6/2017,265
2/7/2017,246
2/8/2017,234
2/9/2017,265
2/10/2017,217
2/11/2017,69
2/12/2017,104
2/13/2017,266
2/14/2017,266
2/15/2017,304
2/16/2017,345
2/17/2017,286
2/18/2017,95
2/19/2017,104
2/20/2017,239
2/21/2017,352
2/22/2017,377
2/23/2017,330
2/24/2017,321
2/25/2017,104
2/26/2017,131
2/27/2017,199
